장소명,리뷰,별점
랭스터디카페 서현점,이용후 넘 좋아서 바로 월회원으로 등록했어요!,5
랭스터디카페 서현점,룸이용은 항상 여기서 하네요! 근데 예약이 너무 치열해요 ㅠ,5
랭스터디카페 서현점,야간권이 너무 저럼해서 자주 이용하려고 끊었어요~굿굿,5
랭스터디카페 서현점,굿,5
랭스터디카페 서현점,조용하고 공부하기 좋아요,5
랭스터디카페 서현점,"내부도 적당히 크고 자리마다 무선 충전기 설치 되어 있는 등 시설이 되게 좋아요!!제공되는 것도 많구요 건물이 낡아서 화장실이 후지긴 한데 어쩔 수 없죠ㅠ음료 포함 정기권 끊었는데 음식 종류도 많구 아직 많이 먹어보진 않았지만 맛있어요!볶음밥이랑 베이커리류도 팔아서 식사 해결도 가능해요ㅎㅎ다만 음료는 만들어주시는 알바 분들에 따라 맛 차이가 큰거 같아요😂그리고 창가 쪽에 앉으면 비둘기 등등의 각종 새들이 자꾸 와서 달려 있는 간판 위에 앉고 부딪히고 막 그래서 소리가 좀 나요ㅠㅠ구구구하고 우는 소리도 들리고 날아가는 소리,부딪히는 소리 전부 잘 들리는게 조금 거슬린다는 점 감안해야 해요!😇",4.5
랭스터디카페 서현점,쾌적하고 잔잔한 음악이 나와서 집중도 잘되고 너무 좋았어요~~! 자주방문할게요 !!^^,5
랭스터디카페 서현점,자리가 넓고 4구 콘센트라 넉넉해요월정기권이나 야간권 사용방법이 궁금합니다,4.5
랭스터디카페 서현점,룸이 넘 커서 넘 좋네여 매번 이용합니당 ㅎㅎ,5
랭스터디카페 서현점,음료수도 맛있고 쾌적하고사장님이 소독도 자주 해주셔서 안전하게 이용하기 좋아요,5
랭스터디카페 서현점,음료가 맛있었고 분위기도 쾌적하고 좋았어요 ㅎ책상을 바로 알콜로 닦아주셔서 안심하고 이용할수있었어요계속 이용할게요~~,5
랭스터디카페 서현점,착한가격!시설 깨끗하고 책상의자 넓어서 좋아요!라떼는 비추,4
랭스터디카페 서현점,조용하고 공부에 집중하기 좋은 곳 이예요 !!!!!,5
랭스터디카페 서현점,시설도 좋고 의자가 좋아서 오래 공부해도 좋아요 >__< 다른지점보다 서현점이 훨씬 좋아요!!,5
랭스터디카페 서현점,좋아요,5
랭스터디카페 서현점,굿,5
랭스터디카페 서현점,조용해서 편하게 공부하기 좋아요!!음료 저렴하고 맛도있어요~자주 이용해야겠어요♡,5
랭스터디카페 서현점,서현 스터디 카페중에 젤 조음,5
랭스터디카페 서현점,진짜 분위기 좋다 알바생분들도 친절 ㅠㅠ,5
랭스터디카페 서현점,첫 방문에 야간권 사용해보았어요. 일단 실내가 깨끗하고 조용하고 깔끔하네요. 책상도 넓고 무엇보다 의자가 넓고 푹신해서 좋았습니다ㅎㅎ 원래 일반 카페 가면 음악 나오면 좀 집중이 안 되는 편인데 여기는 나오는 노래가 다 잔잔해서 그런가 집중이 잘 돼요!! 이 스터디카페는 음료주문도 되고 심지어 음식주문도 가능하던데 제가 야간권이라 주문은 못했지만 좋은 의미로 정말 신기했습니다!!ㅎㅎ 분위기가 너무 괜찮고 집중이 잘 돼서 공부 안 될 때 찾아와야겠어요!ㅎㅎ 번창하세요~~!!,5
랭스터디카페 서현점,사장님 친절하시고 카페 분위기도 좋았어요🥰💕,5
랭스터디카페 서현점,"무제한권 가격도 부담스럽지 않고, 음료포함 무제한권 끊었더니 매일매일 뭐 먹을지 행복한 고민을 하게 돼요 ㅠㅠ 음료 진짜진짜 맛있습니다.. 곧 한달 이용권이 끝나가는데, 수능 끝날 때까지 계속 여기 다니려구요! 담요, 독서대, 충전기 등 대여 가능한 점과 넓은 책상, 무선충전기, 네개의 콘센트가 공부하기도 너무 편하게 만들어줘요❤️ 의자가 넓고 적당히 푹신해서 가만히 못있는 제가 여러 자세로 공부할 수 있게 만들어주네용..ㅋㅋ 화장실 갈 때 펌프용 핸드워시 사용할 수 있도록 입구에 비치해두신 센스까지 ㅠㅠ😭 조용한 방까지 따로 있어서 소음 듣고 싶지 않을 때 들어갈 수도 있어요! 잘 다녀보겠습니다!",5
랭스터디카페 서현점,오늘 공부하려고 스터디 카페 찾아보다가 동생이 새로운 데 생겼다 해서 같이 처음 가봤는데 너무 깔끔하고 제가 생각하는 최고의 시설들이 있는 곳입니다. 화이트보드부터 넓고 푹신한 의자. 콘센트 네 개씩. 노트북 거치대 등등을 무료 대여 할 수 있는 것. 의자 안 끌리게 의자 밑에 처리해 둔 것. 노래 잔잔하게 나오는 게 집중력 높이는 것. 조명도 제가 너무 밝으면 눈이 자주 아파하는데 눈도 안 아플 정도이지만 밝아서 매우 만족스럽고 . 카운터에 계신 분이 친절하시고 손님 나갈 때마다 바로비로 깔끔하게 청소해주시며 청결과 방역에 신경써주시는 모습까지. 유명해지면 너무 슬플 것 같지만 그래도 유명해져야 제가내년에 임용고시 볼 때까지 계속 사용하니까 공익을 위해 리뷰 남깁니다.ㅎ 흥하세요!,5
랭스터디카페 서현점,스터디카페 중 가장 최고인듯 합니다!복잡한 서현에서 조용하고 편안하게 공부할 수 있었어용ㅎㅎ,5
랭스터디카페 서현점,"진짜 리뷰 같은거 귀찮아서 잘 안하는데 여기 스터디룸은  그룹으로 공부하기 진짜 좋은 것 같네요, 딱딱한 독서실 분위기 아닌 진짜 카페에서 공부 하는 느낌!! 제 지인에게 업체 미팅장소로 추천하고 싶네요.  앞으로 자주 이용 할것 같습니다. ^^",5
랭스터디카페 서현점,친절하시구 좋아요ㅎㅎ음료도 기대안했는데 맛있어요ㅋㅋ,5
랭스터디카페 서현점,깨끗하고 조용해서 너무 좋았습니다사장님께 죄송하지만..저만 알고싶은 곳이네요ㅎㅎ,5
랭스터디카페 서현점,공부 분위기가 엄청 좋아요,5
랭스터디카페 서현점,여기 스터디룸 대박~^^  레몬커피도 맛남,5
랭스터디카페 서현점,조아요,3
랭스터디카페 서현점,친절하셨어용,5
랭스터디카페 서현점,새로 생겨서 깔끔하고 인테리어 좋고 조용하고 알바 분들 친절하세요! 스터디룸도 있어서 스터디할 때도 자주 올 것 같아요!,5
랭스터디카페 서현점,편안한 분위기여서 공부 잘되요~!!!,5
토즈스터디센터 분당야탑1센터,좋아요,3.5
토즈스터디센터 분당야탑1센터,굿,5
플랜에이스터디카페 분당미금센터,좋고 깨끗해요~스터디하게 좋아요~,5
플랜에이스터디카페 분당미금센터,깔큼하고 시설도 좋았어요^^,5
